Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1991,1991,hg/ha,155844,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1992,1992,hg/ha,195925,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1993,1993,hg/ha,184170,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1994,1994,hg/ha,181582,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1995,1995,hg/ha,131106,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1996,1996,hg/ha,186442,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1997,1997,hg/ha,138519,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1998,1998,hg/ha,138120,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,1999,1999,hg/ha,192500,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2000,2000,hg/ha,160615,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2001,2001,hg/ha,189276,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2002,2002,hg/ha,182132,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2003,2003,hg/ha,157440,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2004,2004,hg/ha,185823,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2005,2005,hg/ha,258107,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2006,2006,hg/ha,173033,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2007,2007,hg/ha,162500,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2008,2008,hg/ha,156548,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2009,2009,hg/ha,147267,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2010,2010,hg/ha,149987,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2011,2011,hg/ha,153490,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2012,2012,hg/ha,127506,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2013,2013,hg/ha,247870,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2014,2014,hg/ha,281141,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2015,2015,hg/ha,289585,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2016,2016,hg/ha,291364,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2017,2017,hg/ha,322334,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2018,2018,hg/ha,334036,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2019,2019,hg/ha,381620,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,515,Apples,2020,2020,hg/ha,336656,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1961,1961,hg/ha,22831,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1962,1962,hg/ha,22831,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1963,1963,hg/ha,22831,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1964,1964,hg/ha,22831,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1965,1965,hg/ha,22831,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1966,1966,hg/ha,20905,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1967,1967,hg/ha,14630,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1968,1968,hg/ha,18270,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1969,1969,hg/ha,15062,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1970,1970,hg/ha,13708,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1971,1971,hg/ha,15978,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1972,1972,hg/ha,11416,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1973,1973,hg/ha,13708,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1974,1974,hg/ha,17500,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1975,1975,hg/ha,15000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1976,1976,hg/ha,20000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1977,1977,hg/ha,20000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1978,1978,hg/ha,13333,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1979,1979,hg/ha,10000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1980,1980,hg/ha,14535,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1981,1981,hg/ha,12136,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1982,1982,hg/ha,15385,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1983,1983,hg/ha,15000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1984,1984,hg/ha,17620,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1985,1985,hg/ha,16345,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1986,1986,hg/ha,17799,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1987,1987,hg/ha,15471,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1988,1988,hg/ha,18957,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1989,1989,hg/ha,23561,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1990,1990,hg/ha,22851,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1991,1991,hg/ha,23045,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1992,1992,hg/ha,20680,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1993,1993,hg/ha,19793,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1994,1994,hg/ha,23416,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1995,1995,hg/ha,29167,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1996,1996,hg/ha,24375,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1997,1997,hg/ha,22500,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1998,1998,hg/ha,23333,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,1999,1999,hg/ha,22222,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2000,2000,hg/ha,20391,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2001,2001,hg/ha,19231,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2002,2002,hg/ha,20988,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2003,2003,hg/ha,21519,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2004,2004,hg/ha,21574,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2005,2005,hg/ha,20000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2006,2006,hg/ha,16506,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2007,2007,hg/ha,21201,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2008,2008,hg/ha,22425,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2009,2009,hg/ha,22152,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2010,2010,hg/ha,22807,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2011,2011,hg/ha,25888,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2012,2012,hg/ha,26985,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2013,2013,hg/ha,24000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2014,2014,hg/ha,27002,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2015,2015,hg/ha,24001,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2016,2016,hg/ha,25000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2017,2017,hg/ha,20000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2018,2018,hg/ha,20000,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2019,2019,hg/ha,20999,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,367,Asparagus,2020,2020,hg/ha,21998,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1961,1961,hg/ha,32624,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1962,1962,hg/ha,36355,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1963,1963,hg/ha,35155,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1964,1964,hg/ha,36943,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1965,1965,hg/ha,37517,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1966,1966,hg/ha,35162,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1967,1967,hg/ha,37778,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1968,1968,hg/ha,34447,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1969,1969,hg/ha,35903,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1970,1970,hg/ha,33566,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1971,1971,hg/ha,37400,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1972,1972,hg/ha,40403,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1973,1973,hg/ha,39722,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1974,1974,hg/ha,41246,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1975,1975,hg/ha,36303,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1976,1976,hg/ha,35050,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1977,1977,hg/ha,43872,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1978,1978,hg/ha,41883,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1979,1979,hg/ha,41064,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1980,1980,hg/ha,44294,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1981,1981,hg/ha,43962,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1982,1982,hg/ha,49325,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1983,1983,hg/ha,46549,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1984,1984,hg/ha,55907,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1985,1985,hg/ha,49542,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1986,1986,hg/ha,52238,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1987,1987,hg/ha,50437,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1988,1988,hg/ha,46379,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1989,1989,hg/ha,48830,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1990,1990,hg/ha,52088,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1991,1991,hg/ha,54743,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1992,1992,hg/ha,56746,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1993,1993,hg/ha,51873,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1994,1994,hg/ha,53752,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1995,1995,hg/ha,57332,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1996,1996,hg/ha,61095,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1997,1997,hg/ha,57601,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1998,1998,hg/ha,52857,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,1999,1999,hg/ha,55818,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2000,2000,hg/ha,57553,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2001,2001,hg/ha,53494,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2002,2002,hg/ha,55658,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2003,2003,hg/ha,59108,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2004,2004,hg/ha,57587,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2005,2005,hg/ha,58582,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2006,2006,hg/ha,59467,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2007,2007,hg/ha,56559,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2008,2008,hg/ha,59535,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2009,2009,hg/ha,58338,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2010,2010,hg/ha,57025,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2011,2011,hg/ha,56639,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2012,2012,hg/ha,55110,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2013,2013,hg/ha,58467,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2014,2014,hg/ha,63991,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2015,2015,hg/ha,66939,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2016,2016,hg/ha,59314,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2017,2017,hg/ha,60909,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2018,2018,hg/ha,57206,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2019,2019,hg/ha,69260,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,44,Barley,2020,2020,hg/ha,58480,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,414,"Beans, green",1961,1961,hg/ha,96786,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,414,"Beans, green",1962,1962,hg/ha,90390,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,414,"Beans, green",1963,1963,hg/ha,87663,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,414,"Beans, green",1964,1964,hg/ha,96068,Fc,Calculated data
QCL,Crops and livestock products,229,United Kingdom of Great Britain and Northern Ireland,5419,Yield,414,"Beans, green",1965,1965,hg/ha,94044,Fc,Calculated data
